,density,depth
10,190.075,0.1
30,220.2,0.3
50,299.9375,0.5
70,275.0375,0.7
90,290.05,0.9
110,310.075,1.1
130,340.0125,1.3
150,345.0904395296753,1.5
170,381.2662513997761,1.7
190,417.4420632698768,1.9
210,453.54791914599576,2.1
230,461.74133342336654,2.3
250,468.3375782441864,2.5
270,460.9488514820358,2.7
290,453.5601247198852,2.9
310,446.17139795773465,3.1
330,429.94165277447007,3.3
350,418.1555138290196,3.5
370,449.13850645340386,3.7
390,467.7649080408544,3.9
410,471.4405171582028,4.1
430,,4.3
450,,4.5
470,,4.7
490,,4.9
